iso3,pin,year,Physical,Conflict,Displacement,Complex,severity_max,risk_score,risk_class,vac_share,vuln,climate_vulnerability,ipc_crisis_share,ipc_phase,consecutive_crisis,crisis_class,HRP_funding,HRP_requirements,RRP_requirements,RRP_funding
AFG,18.4,2021,1,1,1,1,4,8.1,Very High,13.19,0.579588111580719,very vulnerable,13.154519,3,14,PC,2074805210,1474927646,,
AGO,1.35,2021,1,0,0,1,4,4.6,Medium,34.77,0.50586122712232,vulnerable,1.583997,3,5,PC,,,23099697,8987202
ARM,0.09,2021,0,1,0,1,1,5.4,High,38.01,0.380703202953702,resilient,,,,,,,,
AZE,0,2021,0,1,0,1,,5.9,High,52.21,0.397940295675533,slightly vulnerable,,,,,,,,
BDI,2.4,2021,1,0,1,1,4,5.7,High,0.09,0.558512240955858,very vulnerable,1.059233,2,6,PC,87843828,194684000,50795995,18581254
BFA,3.533773,2021,1,1,1,1,5,6.5,Very High,10.04,0.543886886097753,very vulnerable,2.7269,2,18,PC,298909270,607875894,,
BGD,1.36,2021,1,0,1,1,4,5.6,High,77.36,0.543013358992345,very vulnerable,,,6,PC,,,943123350,678570060
BRA,0.49,2021,0,0,1,1,3,4.9,Medium,85.23,0.380982520483097,resilient,,,4,RC,,,98126574,41430964
CAF,2.8,2021,0,1,1,1,4,7.8,Very High,18.77,0.560927149300608,very vulnerable,2.314675,3,19,PC,400710907,444760000,0,2225364
CHN,0.2,2021,1,0,0,0,2,3.9,Medium,88.78,0.387506873867166,resilient,,,,,,,,
CMR,4.406243,2021,0,1,1,1,4,6.1,High,5.67,0.47245740913281,vulnerable,2.284344,2,8,PC,195551887,361554315,,
COD,19.616782,2021,1,1,1,1,4,7.6,Very High,0.87,0.5917168845683,very vulnerable,19.616782,3,22,PC,876019658,1984303303,71297673,19804526
COG,1.2,2021,1,0,1,1,3,5.2,High,14.42,0.512200941335931,vulnerable,,,8,PC,,,11079843,2796738
COL,8.5,2021,1,0,1,1,4,5.4,High,82.25,0.408777988145001,slightly vulnerable,,,4,RC,84109385,174010305,640990540,328308657
