Donor,Year,GNI_USD
"DAC Countries, Total",2000,35511108.69767
Australia,2000,759332.172471
Austria,2000,330151.395624
Belgium,2000,395548.546952
Canada,2000,1098679.287812
Denmark,2000,271913.760232
Finland,2000,202141.719169
France,2000,2200978.596275
Germany,2000,3034400.939366
Greece,2000,171886.42914
Ireland,2000,134857.290578
Italy,2000,1867356.982242
Japan,2000,4456204.692073
Korea,2000,712439.747753
Luxembourg,2000,37253.149601
Netherlands,2000,653605.433722
New Zealand,2000,100947.896886
Norway,2000,262407.403135
Portugal,2000,189978.345458
Spain,2000,971977.175808
Sweden,2000,315314.046783
Switzerland,2000,529868.847304
United Kingdom,2000,1889915.516647
United States,2000,14461386.016465
"Non-DAC Countries, Total",2000,214742.482231
Bulgaria,2000,
Chinese Taipei,2000,
Cyprus,2000,
Czech Republic,2000,122245.46999
Estonia,2000,
Hungary,2000,
Iceland,2000,12154.257459
Israel,2000,
Latvia,2000,
Liechtenstein,2000,
Lithuania,2000,
Malta,2000,
Poland,2000,279262.641152
Romania,2000,
Slovak Republic,2000,48900.937573
Slovenia,2000,
Thailand,2000,
Turkey,2000,214742.482231
United Arab Emirates,2000,
Croatia,2000,
"G7 Countries, Total",2000,29008922.03088
Kazakhstan,2000,
Azerbaijan,2000,
Kuwait,2000,
Saudi Arabia,2000,
Qatar,2000,
"DAC EU Members + EC, Total",2000,11227772.859665
"DAC EU Members, Total",2000,11227772.859665
"DAC Countries, Total",2001,35906161.179573
Australia,2001,770547.299432
Austria,2001,329470.208505
Belgium,2001,410189.022428
Canada,2001,1161246.813581
Denmark,2001,275971.289814
Finland,2001,202876.407005
France,2001,2237272.740915
Germany,2001,3047212.92885
Greece,2001,183320.879961
Ireland,2001,142134.875237
Italy,2001,1881055.656659
Japan,2001,4483513.59588
Korea,2001,741859.224969
Luxembourg,2001,38657.729079
Netherlands,2001,665363.12179
New Zealand,2001,101935.747619
Norway,2001,269304.139008
Portugal,2001,194246.813202
Spain,2001,998348.001349
Sweden,2001,336366.810736
Switzerland,2001,523767.117737
United Kingdom,2001,1968861.829672
United States,2001,14470959.15997
"Non-DAC Countries, Total",2001,389452.742197
Bulgaria,2001,
Chinese Taipei,2001,
Cyprus,2001,
Czech Republic,2001,127781.869761
Estonia,2001,
Hungary,2001,
Iceland,2001,12327.698445
Israel,2001,186086.438714
Latvia,2001,
Liechtenstein,2001,
Lithuania,2001,
Malta,2001,
Poland,2001,279570.400843
Romania,2001,
Slovak Republic,2001,51999.797126
Slovenia,2001,
Thailand,2001,
Turkey,2001,203366.303483
United Arab Emirates,2001,
Croatia,2001,
"G7 Countries, Total",2001,29250122.725527
Kazakhstan,2001,
Azerbaijan,2001,
Kuwait,2001,
Saudi Arabia,2001,
Qatar,2001,
"DAC EU Members + EC, Total",2001,11401838.55326
"DAC EU Members, Total",2001,11401838.55326
"DAC Countries, Total",2002,36196107.332895
Australia,2002,793212.537983
Austria,2002,340525.720071
Belgium,2002,403560.039639
Canada,2002,1184121.195897
Denmark,2002,274453.034142
Finland,2002,208688.297215
France,2002,2246814.45034
Germany,2002,3083264.594401
Greece,2002,191808.186995
Ireland,2002,146382.57306
Italy,2002,1876203.293632
Japan,2002,4486625.674744
Korea,2002,794380.327065
Luxembourg,2002,37818.760389
Netherlands,2002,650038.041589
New Zealand,2002,114754.482916
Norway,2002,274981.375079
Portugal,2002,196677.525532
Spain,2002,1035510.385879
Sweden,2002,344640.637259
Switzerland,2002,522875.833403
United Kingdom,2002,2063617.40334
United States,2002,14713572.942129
"Non-DAC Countries, Total",2002,406236.321911
Bulgaria,2002,
Chinese Taipei,2002,
Cyprus,2002,
Czech Republic,2002,134983.304494
Estonia,2002,
Hungary,2002,
Iceland,2002,12350.560772
Israel,2002,185257.159851
Latvia,2002,
Liechtenstein,2002,
Lithuania,2002,
Malta,2002,
Poland,2002,
Romania,2002,
Slovak Republic,2002,64246.15493
Slovenia,2002,
Thailand,2002,
Turkey,2002,220979.16206
United Arab Emirates,2002,
Croatia,2002,
"G7 Countries, Total",2002,29654219.554483
Kazakhstan,2002,
Azerbaijan,2002,
Kuwait,2002,
Saudi Arabia,2002,
Qatar,2002,
"DAC EU Members + EC, Total",2002,11235614.999567
"DAC EU Members, Total",2002,11235614.999567
"DAC Countries, Total",2003,37254614.551738
Australia,2003,821605.525454
Austria,2003,344340.779212
Belgium,2003,410816.00506
Canada,2003,1215493.302773
Denmark,2003,276119.792249
Finland,2003,212176.882354
France,2003,2261982.684529
Germany,2003,3050757.014512
Greece,2003,200501.768309
Ireland,2003,152388.910295
Italy,2003,1878285.35533
Japan,2003,4543712.321357
Korea,2003,809022.741952
Luxembourg,2003,37249.358288
Netherlands,2003,643769.549066
New Zealand,2003,120716.923764
Norway,2003,275924.350094
Portugal,2003,194355.162978
Spain,2003,1070489.995768
Sweden,2003,353780.621615
Switzerland,2003,542106.195071
United Kingdom,2003,2116831.28694
United States,2003,15103670.392749
"Non-DAC Countries, Total",2003,412174.122442
Bulgaria,2003,
