obs,iso3,country,type,variable,value,year
316,AFG,Afghanistan,substate,intensity_2021,2,2021
325,AFG,Afghanistan,intrastate,intensity_2021,5,2021
353,AFG,Afghanistan,interstate,intensity_2021,3,2021
44,ALB,Albania,intrastate,intensity_2021,3,2021
310,DZA,Algeria,interstate,intensity_2021,2,2021
323,DZA,Algeria,intrastate,intensity_2021,1,2021
336,DZA,Algeria,intrastate,intensity_2021,3,2021
65,AGO,Angola,intrastate,intensity_2021,3,2021
148,ARG,Argentina,interstate,intensity_2021,1,2021
7,ARM,Armenia,interstate,intensity_2021,1,2021
15,ARM,Armenia,intrastate,intensity_2021,3,2021
33,ARM,Armenia,interstate,intensity_2021,3,2021
6,AZE,Azerbaijan,intrastate,intensity_2021,3,2021
14,AZE,Azerbaijan,intrastate,intensity_2021,3,2021
33,AZE,Azerbaijan,interstate,intensity_2021,3,2021
335,BHR,Bahrain,intrastate,intensity_2021,2,2021
217,BGD,Bangladesh,intrastate,intensity_2021,3,2021
263,BGD,Bangladesh,intrastate,intensity_2021,3,2021
264,BGD,Bangladesh,intrastate,intensity_2021,3,2021
268,BGD,Bangladesh,intrastate,intensity_2021,3,2021
8,BLR,Belarus,intrastate,intensity_2021,3,2021
17,BLR,Belarus,interstate,intensity_2021,2,2021
146,BLZ,Belize,interstate,intensity_2021,3,2021
144,BOL,Bolivia,intrastate,intensity_2021,3,2021
172,BOL,Bolivia,intrastate,intensity_2021,3,2021
175,BOL,Bolivia,interstate,intensity_2021,1,2021
22,BIH,Bosnia and Herzegovina,intrastate,intensity_2021,1,2021
152,BRA,Brazil,intrastate,intensity_2021,2,2021
180,BRA,Brazil,intrastate,intensity_2021,4,2021
189,BRA,Brazil,intrastate,intensity_2021,3,2021
190,BRA,Brazil,intrastate,intensity_2021,3,2021
46,BGR,Bulgaria,intrastate,intensity_2021,2,2021
115,BFA,Burkina Faso,intrastate,intensity_2021,3,2021
116,BFA,Burkina Faso,intrastate,intensity_2021,4,2021
322,BFA,Burkina Faso,transstate,intensity_2021,5,2021
59,BDI,Burundi,interstate,intensity_2021,1,2021
87,BDI,Burundi,transstate,intensity_2021,3,2021
88,BDI,Burundi,intrastate,intensity_2021,3,2021
208,KHM,Cambodia,intrastate,intensity_2021,2,2021
243,KHM,Cambodia,interstate,intensity_2021,1,2021
93,CMR,Cameroon,intrastate,intensity_2021,5,2021
68,CAF,Central African Republic,transstate,intensity_2021,3,2021
117,CAF,Central African Republic,intrastate,intensity_2021,5,2021
84,TCD,Chad,substate,intensity_2021,3,2021
85,TCD,Chad,intrastate,intensity_2021,4,2021
86,TCD,Chad,intrastate,intensity_2021,3,2021
113,TCD,Chad,transstate,intensity_2021,5,2021
165,CHL,Chile,intrastate,intensity_2021,3,2021
168,CHL,Chile,interstate,intensity_2021,1,2021
169,CHL,Chile,intrastate,intensity_2021,3,2021
170,CHL,Chile,intrastate,intensity_2021,2,2021
