aar_id,title,gsu_analysis_title,date,anl_id,code,country,area,overall_phase,p3_plus_population,p3_plus_population_percentage,analysis_date,fanalysis_date,current_from_date,current_thru_date,projected_from_date,projected_thru_date,second_projected_from_date,second_projected_thru_date,current_period_dates,projected_period_dates,second_projected_period_dates,analysis_period,estimated_population_current,estimated_population_projected,estimated_population_second_projected,group_name,aag_id,condition,period,census_population,view_level,phase1_C_population,phase1_C_percentage,phase6_C_population,phase6_C_percentage,overall_phase_C,phase2_C_population,phase2_C_percentage,phase3_C_population,phase3_C_percentage,phase4_C_population,phase4_C_percentage,phase5_C_population,phase5_C_percentage,phase3_P_population,phase3_P_percentage,phase6_P_population,phase6_P_percentage,overall_phase_P,phase2_P_population,phase2_P_percentage,phase5_P_population,phase5_P_percentage,phase4_P_population,phase4_P_percentage,phase1_P_population,phase1_P_percentage,phase3_A_population,phase3_A_percentage,phase6_A_population,phase6_A_percentage,overall_phase_A,phase1_A_population,phase1_A_percentage,phase2_A_population,phase2_A_percentage,phase4_A_population,phase4_A_percentage,phase5_A_population,phase5_A_percentage
21142859,Acute Food Insecurity November 2020 (G.Sud- Sud E),Acute Food Insecurity and Acute Malnutrition Situation for October - December 2020 and Projection for January - April 2021,"Dec 17, 2020",21142855,MG,Madagascar,Taolagnaro,2,54026,0.15,Nov 2020,20201130,Oct 2020,Dec 2020,Jan 2021,Apr 2021,,,Oct 2020 - Dec 2020,Jan 2021 - Apr 2021,"",Jan 2021 - Apr 2021,360171,360171,0,Anosy,21142858,A,C,25680342,area,144068,0.4,54026,0.15,2,162077,0.45,36017,0.1,18009,0.05,0,0,36017,0.1,54026,0.15,2,180086,0.5,0,0,18009,0.05,126060,0.35,,,,,,,,,,,,,
21142862,Acute Food Insecurity November 2020 (G.Sud- Sud E),Acute Food Insecurity and Acute Malnutrition Situation for October - December 2020 and Projection for January - April 2021,"Dec 17, 2020",21142855,MG,Madagascar,Ampanihy,3,168071,0.4,Nov 2020,20201130,Oct 2020,Dec 2020,Jan 2021,Apr 2021,,,Oct 2020 - Dec 2020,Jan 2021 - Apr 2021,"",Jan 2021 - Apr 2021,420177,420177,0,Atsimo Andrefana,21142861,A,C,25680342,area,84035,0.2,168071,0.4,3,168071,0.4,147062,0.35,21009,0.05,0,0,168071,0.4,210089,0.5,3,147062,0.35,0,0,42018,0.1,63027,0.15,,,,,,,,,,,,,
21142865,Acute Food Insecurity November 2020 (G.Sud- Sud E),Acute Food Insecurity and Acute Malnutrition Situation for October - December 2020 and Projection for January - April 2021,"Dec 17, 2020",21142855,MG,Madagascar,Manakara Atsimo,2,60205,0.15,Nov 2020,20201130,Oct 2020,Dec 2020,Jan 2021,Apr 2021,,,Oct 2020 - Dec 2020,Jan 2021 - Apr 2021,"",Jan 2021 - Apr 2021,401364,401364,0,Vatovavy Fitovinany,21142864,A,C,25680342,area,100341,0.25,60205,0.15,2,240818,0.6,60205,0.15,0,0,0,0,60205,0.15,60205,0.15,2,280955,0.7,0,0,0,0,60205,0.15,,,,,,,,,,,,,
21142867,Acute Food Insecurity November 2020 (G.Sud- Sud E),Acute Food Insecurity and Acute Malnutrition Situation for October - December 2020 and Projection for January - April 2021,"Dec 17, 2020",21142855,MG,Madagascar,Amboasary-atsimo,4,176176,0.65,Nov 2020,20201130,Oct 2020,Dec 2020,Jan 2021,Apr 2021,,,Oct 2020 - Dec 2020,Jan 2021 - Apr 2021,"",Jan 2021 - Apr 2021,271041,271041,0,Anosy,21142858,A,C,25680342,area,40656,0.15,176176,0.65,4,54208,0.2,121968,0.45,54208,0.2,0,0,121968,0.45,189728,0.7,4,54208,0.2,0,0,67760,0.25,27104,0.1,,,,,,,,,,,,,
21142869,Acute Food Insecurity November 2020 (G.Sud- Sud E),Acute Food Insecurity and Acute Malnutrition Situation for October - December 2020 and Projection for January - April 2021,"Dec 17, 2020",21142855,MG,Madagascar,Betioky atsimo,3,81418,0.25,Nov 2020,20201130,Oct 2020,Dec 2020,Jan 2021,Apr 2021,,,Oct 2020 - Dec 2020,Jan 2021 - Apr 2021,"",Jan 2021 - Apr 2021,325673,325673,0,Atsimo Andrefana,21142861,A,P,25680342,area,113986,0.35,32567,0.1,2,179120,0.55,32567,0.1,0,0,0,0,81418,0.25,81418,0.25,3,146553,0.45,0,0,0,0,97702,0.3,,,,,,,,,,,,,
21142872,Acute Food Insecurity November 2020 (G.Sud- Sud E),Acute Food Insecurity and Acute Malnutrition Situation for October - December 2020 and Projection for January - April 2021,"Dec 17, 2020",21142855,MG,Madagascar,Beloha,3,73403,0.45,Nov 2020,20201130,Oct 2020,Dec 2020,Jan 2021,Apr 2021,,,Oct 2020 - Dec 2020,Jan 2021 - Apr 2021,"",Jan 2021 - Apr 2021,163116,163116,0,Androy,21142871,A,C,25680342,area,32623,0.2,73403,0.45,3,57091,0.35,57091,0.35,16312,0.1,0,0,73402,0.45,97869,0.6,3,32623,0.2,0,0,24467,0.15,32623,0.2,,,,,,,,,,,,,
21142874,Acute Food Insecurity November 2020 (G.Sud- Sud E),Acute Food Insecurity and Acute Malnutrition Situation for October - December 2020 and Projection for January - April 2021,"Dec 17, 2020",21142855,MG,Madagascar,Betroka,3,55599,0.25,Nov 2020,20201130,Oct 2020,Dec 2020,Jan 2021,Apr 2021,,,Oct 2020 - Dec 2020,Jan 2021 - Apr 2021,"",Jan 2021 - Apr 2021,222394,222394,0,Anosy,21142858,A,C,25680342,area,66718,0.3,55599,0.25,3,100077,0.45,44479,0.2,11120,0.05,0,0,55599,0.25,77838,0.35,3,77838,0.35,0,0,22239,0.1,66718,0.3,,,,,,,,,,,,,
21142877,Acute Food Insecurity November 2020 (G.Sud- Sud E),Acute Food Insecurity and Acute Malnutrition Situation for October - December 2020 and Projection for January - April 2021,"Dec 17, 2020",21142855,MG,Madagascar,Farafangana,2,64260,0.15,Nov 2020,20201130,Oct 2020,Dec 2020,Jan 2021,Apr 2021,,,Oct 2020 - Dec 2020,Jan 2021 - Apr 2021,"",Jan 2021 - Apr 2021,428403,428403,0,Atsimo Atsinanana,21142876,A,P,25680342,area,192781,0.45,42840,0.1,2,192781,0.45,42840,0.1,0,0,0,0,64260,0.15,64260,0.15,2,214202,0.5,0,0,0,0,149941,0.35,,,,,,,,,,,,,
21142879,Acute Food Insecurity November 2020 (G.Sud- Sud E),Acute Food Insecurity and Acute Malnutrition Situation for October - December 2020 and Projection for January - April 2021,"Dec 17, 2020",21142855,MG,Madagascar,Vangaindrano,2,37478,0.1,Nov 2020,20201130,Oct 2020,Dec 2020,Jan 2021,Apr 2021,,,Oct 2020 - Dec 2020,Jan 2021 - Apr 2021,"",Jan 2021 - Apr 2021,374776,374776,0,Atsimo Atsinanana,21142876,A,C,25680342,area,224866,0.6,37478,0.1,2,112433,0.3,37478,0.1,0,0,0,0,56216,0.15,56216,0.15,2,168649,0.45,0,0,0,0,149910,0.4,,,,,,,,,,,,,
21142881,Acute Food Insecurity November 2020 (G.Sud- Sud E),Acute Food Insecurity and Acute Malnutrition Situation for October - December 2020 and Projection for January - April 2021,"Dec 17, 2020",21142855,MG,Madagascar,Ambovombe-androy,3,171962,0.45,Nov 2020,20201130,Oct 2020,Dec 2020,Jan 2021,Apr 2021,,,Oct 2020 - Dec 2020,Jan 2021 - Apr 2021,"",Jan 2021 - Apr 2021,382138,382138,0,Androy,21142871,A,C,25680342,area,57321,0.15,171962,0.45,3,152855,0.4,133748,0.35,38214,0.1,0,0,171962,0.45,229283,0.6,3,95535,0.25,0,0,57321,0.15,57321,0.15,,,,,,,,,,,,,
