iso3,date,vac_pd,vac_pd_pm
AFG,2021-02-22,,
AFG,2021-02-23,1367,34
AFG,2021-02-24,1367,34
AFG,2021-02-25,1367,34
AFG,2021-02-26,1367,34
AFG,2021-02-27,1367,34
AFG,2021-02-28,1367,34
AFG,2021-03-01,1580,40
AFG,2021-03-02,1794,45
AFG,2021-03-03,2008,50
AFG,2021-03-04,2221,56
AFG,2021-03-05,2435,61
AFG,2021-03-06,2649,66
AFG,2021-03-07,2862,72
AFG,2021-03-08,2862,72
AFG,2021-03-09,2862,72
AFG,2021-03-10,2862,72
AFG,2021-03-11,2862,72
AFG,2021-03-12,2862,72
AFG,2021-03-13,2862,72
AFG,2021-03-14,2862,72
AFG,2021-03-15,2862,72
AFG,2021-03-16,2862,72
AFG,2021-03-17,2882,72
AFG,2021-03-18,2902,73
AFG,2021-03-19,2921,73
AFG,2021-03-20,2941,74
AFG,2021-03-21,2961,74
AFG,2021-03-22,2980,75
AFG,2021-03-23,3000,75
AFG,2021-03-24,3000,75
AFG,2021-03-25,3000,75
AFG,2021-03-26,3000,75
AFG,2021-03-27,3000,75
AFG,2021-03-28,3000,75
AFG,2021-03-29,3000,75
AFG,2021-03-30,3000,75
AFG,2021-03-31,3000,75
AFG,2021-04-01,3000,75
AFG,2021-04-02,3000,75
AFG,2021-04-03,3000,75
AFG,2021-04-04,3000,75
AFG,2021-04-05,3000,75
AFG,2021-04-06,3000,75
AFG,2021-04-07,3000,75
AFG,2021-04-08,3714,93
AFG,2021-04-09,4429,111
AFG,2021-04-10,5143,129
AFG,2021-04-11,5857,147
AFG,2021-04-12,6571,165
AFG,2021-04-13,7286,183
AFG,2021-04-14,8000,201
AFG,2021-04-15,8000,201
AFG,2021-04-16,8000,201
AFG,2021-04-17,8000,201
AFG,2021-04-18,8000,201
AFG,2021-04-19,8000,201
AFG,2021-04-20,8000,201
AFG,2021-04-21,8000,201
AFG,2021-04-22,8000,201
AFG,2021-04-23,8846,222
