iso3,vac_share,full_vac_share,vac_num,total_vac_num
AFG,13.19,11.56,5253929,5948889
OWID_AFR,21.25,16.16,291850979,474293394
ALB,44.86,42.68,1288846,2801345
DZA,16.72,13.7,7461932,13704895
AND,74.79,69.04,57850,152301
AGO,34.77,18.06,11799837,18756893
AIA,70.23,65.28,10622,23126
ATG,64.74,62.48,63918,125605
ARG,89.92,81.52,41007048,98176900
ARM,38.01,33.02,1128072,2141957
ABW,82.37,76.36,88293,170149
OWID_ASI,74.85,68.39,3501920288,7906678377
AUS,86.35,83.33,22267716,57102257
AUT,75.42,73.03,6820620,18242918
AZE,52.21,47.33,5337603,13627588
BHS,41.88,39.69,166236,339546
BHR,70.58,69.68,1233991,3430347
BGD,77.36,69.64,128660443,256016234
BRB,56.18,52.76,161641,313446
BLR,62.99,58.26,5947876,11778178
BEL,79.39,78.54,9235047,25295563
BLZ,58.5,52.02,236883,471581
BEN,24.62,20.24,3065188,3112919
BMU,77.99,76.44,48424,131441
BTN,88.64,84.97,691290,1888156
BOL,60.05,49.31,7106071,13201270
BES,72.26,63.29,19109,35845
BIH,28.91,25.93,943394,1924950
BWA,60.69,53.92,1454775,2517260
BRA,85.23,76.32,182395817,426686042
VGB,63.16,58.37,19214,40697
BRN,93.32,91.82,412058,1084543
BGR,30.23,,2084765,
BFA,10.04,5.78,2158705,2440917
BDI,0.09,0.09,11083,11083
KHM,87.74,83.37,14868652,37346245
CMR,5.67,4.41,1544220,1820196
CAN,87.6,82.09,33349087,83093983
CPV,63.1,54.6,354533,728077
CYM,91.32,88.3,60728,142198
CAF,18.77,18.25,923553,1821498
TCD,12.77,12.05,2159731,2291152
CHL,93.2,90.8,17906862,51745165
CHN,88.78,86.33,1282120000,3317463000
COL,82.25,68.73,42163963,82131143
COM,38.39,33.9,341102,637961
COG,14.42,12.04,815778,1496858
COK,85.39,83.52,15004,39596
CRI,85.35,78.91,4386191,10508830
CIV,29.3,19.94,7927713,11872480
HRV,56.66,54.91,2312700,5240306
CUB,94.12,87.84,10652211,35661393
CUW,65.45,60.05,107852,250062
CYP,76.78,72.02,687926,1773485
CZE,64.86,64.03,6956383,17558049
COD,0.87,0.56,802182,881240
DNK,83.22,82.55,4838085,13214591
DJI,15.38,11.38,154093,174640
DMA,45.13,41.76,32569,66357
DOM,65.77,54.38,7204362,15582648
ECU,84.34,77.48,15086932,34006476
EGY,44.01,32.08,45884414,80130948
SLV,70.45,65.87,4592092,10620638
OWID_ENG,78.91,73.79,44624871,118933824
GNQ,18.24,14.65,264393,476752
EST,64.92,63.73,860314,1980852
SWZ,33.05,27.16,387509,509424
ETH,21.01,18.06,24769870,29411822
OWID_EUR,68.32,65.44,511691748,1263411886
OWID_EUN,75.26,73.23,336533003,863488776
FRO,85.04,83.37,41715,103894
FLK,74.6,50.31,2632,4407
FJI,75.9,69.91,685308,1437911
FIN,81.26,77.83,4508830,11731694
FRA,80.16,77.9,54042396,142618594
PYF,66.07,63.99,186674,451581
GAB,17.43,11.05,397308,650502
GMB,13.32,12.79,331266,363353
GEO,40.57,31.72,1614528,2876960
DEU,75.97,75.43,63740368,172662731
GHA,28.36,15.98,8999937,14228848
GIB,124.87,122.88,42069,119578
GRC,76.27,73.41,7909266,20794891
GRL,72.52,67.7,41243,79745
GRD,38.39,33.76,43384,87699
GTM,44.16,33.31,8059262,16708547
GGY,85.42,81.01,54146,144775
GIN,25.73,18.37,3472605,5952680
GNB,25.77,16.94,519455,562620
GUY,59.97,46.03,473926,898907
HTI,1.51,1.05,174804,266240
OWID_HIC,79.41,74.36,964786008,2407576960
HND,52.04,48.05,5236883,12118425
HKG,87.15,79.62,6582178,15695922
HUN,66.49,64.27,6406103,
ISL,84,78.69,309770,805469
IND,71.79,61.01,1000351588,1875857737
IDN,71.97,59.33,198900322,398135514
IRN,75.58,67.58,64266837,148631915
IRQ,25.4,17.78,10459618,17943392
IRL,81.82,80.68,4076999,10837561
IMN,81.41,78.47,69532,189681
ISR,72.18,66.02,6706000,18125135
ITA,84.08,79.34,50755965,136609792
JAM,26.49,22.97,787728,1410964
JPN,81.78,80.41,103078089,268822890
JEY,82.19,79.01,83074,231170
JOR,46.31,43.59,4755830,9874355
KAZ,49.9,48.61,9479366,
KEN,21.6,15.28,11874893,17734375
KIR,64.77,45.58,78620,136758
OWID_KOS,50.64,46.11,902426,1825381
KWT,78.94,76.02,3416986,7939118
KGZ,22.96,19.13,1522042,2996517
LAO,77.7,64.19,5734044,10470742
LVA,72.02,69.83,1344569,2882780
LBN,37.3,32.73,2524596,5310268
LSO,36.23,33.7,782175,905438
LBR,21.56,20.94,1116709,2201300
LBY,31.82,16.39,2214303,3451352
LIE,69.87,69.02,26727,70512
LTU,72.5,69.67,1950225,4476421
OWID_LIC,15.23,12.16,101331096,148377646
OWID_LMC,60.31,51.5,2008627989,3898931173
LUX,77.93,,494742,1311662
MAC,90.79,83.51,597726,1329571
MDG,4.17,3.7,1185489,2236368
MWI,7.99,4.39,1570322,1993981
MYS,84.56,81.02,27716217,70070020
MDV,73.32,70.61,398557,940433
MLI,6.62,4.89,1380453,1941434
MLT,92.08,90.67,475243,1270906
MRT,32.67,22.3,1559947,2118211
MUS,78.9,76.18,1004794,2567436
MEX,65.84,,85767339,197496797
MDA,26.92,,1083286,
MCO,73.06,64.95,28875,65140
MNG,68.27,65.34,2272842,5485869
MNE,46.24,44.97,290442,671238
MSR,38.1,36.56,1898,4229
MAR,66.67,62.59,24896238,54379321
MOZ,44.52,41.11,14317445,27843440
MMR,54.02,41.72,29608037,53750345
NAM,17.52,14.94,453191,839674
NRU,87.04,78.96,9464,22976
NPL,74.82,65.64,22201664,41123876
NLD,78.39,72.22,13462551,34263043
NCL,65.26,62.44,188078,459073
NZL,83.63,79.69,4287101,11022573
NIC,83.62,65.63,5604596,10003541
NER,8.71,6.16,2188727,2689995
NGA,10.68,6.3,22575395,33932163
NIU,102.23,87.79,1650,4161
OWID_NAM,71.84,63,428560701,978293353
MKD,40.97,40.16,853261,1845493
OWID_CYN,74.39,72.2,284357,617389
OWID_NIR,75.23,70.48,1426310,3780111
NOR,79.29,73.76,4333896,11289761
OWID_OCE,66.41,63.38,28704117,72500886
OMN,62.4,57.97,3259190,7030077
PAK,59.56,53.83,134138393,245392645
PSE,38.32,33.84,2001341,3716803
PAN,78.87,69.6,3455675,7995825
PNG,3.54,2.89,322687,586000
PRY,53.76,47.74,3881480,8621956
PER,87.03,80.05,29031992,71096207
PHL,63.19,,70173137,
PCN,100,100,47,94
POL,59.9,59.31,22640263,54172710
PRT,95.04,92.6,9663542,22923599
QAT,88.8,88.8,2602309,
ROU,42.7,,8167109,
RUS,55.16,50.23,80485662,165983904
RWA,67.16,61.36,8916911,20141669
SHN,71.55,57.93,4361,7892
KNA,58.2,49.11,31162,60467
LCA,31.88,28.98,58792,119444
VCT,32.5,27.23,36160,70016
WSM,92.88,68.44,185891,371342
SMR,77.46,69.46,26345,69164
STP,50.91,38.91,113708,208657
SAU,74.61,69.88,26366033,63823469
OWID_SCT,82.23,76.64,4494567,12193352
SEN,8.47,6.04,1457116,2496373
SRB,48.71,47.58,3347209,8494958
SYC,85.32,81.04,84387,199850
SLE,21.42,13.82,1743563,2868978
SGP,91.88,91.27,5010668,13932269
SXM,64.43,59.81,27974,62043
SVK,51.77,50.75,2820864,7063922
SVN,60.86,58.75,1265148,2987548
SLB,35.67,19.96,251123,392884
SOM,12.43,8.46,2033814,2511394
ZAF,35.32,30.38,21209463,34596427
OWID_SAM,83.93,73.89,364461620,833193090
KOR,87.75,86.81,45022762,121111461
SSD,5.24,4.86,596605,645347
ESP,88.11,86.37,41188035,94295766
LKA,79.17,67.16,17019170,39365274
SDN,13.14,7.96,5901014,7037185
SUR,45.22,40.15,267593,505189
SWE,77.02,75.08,7824945,21631651
CHE,69.76,68.77,6080140,15664046
SYR,13.34,8.03,2438338,3609370
TWN,82.43,77.82,19663569,51884722
TJK,52.91,50.12,5158199,11532475
TZA,6.41,4.99,3941772,5031070
THA,80.03,72.71,55979272,132199210
TLS,57.64,44.66,774595,1417237
TGO,18.38,18.37,1558542,2757575
TKL,70.76,70.76,968,1936
TON,73.06,67.3,77994,181220
TTO,53.25,50.66,747277,1551330
TUN,60.15,53.24,7179183,13073517
TUR,67.98,62.35,57812094,147426248
TKM,48.55,47.73,2970000,7140000
TCA,80.28,75.1,31491,68800
TUV,53.4,51.66,6368,12528
UGA,32.53,21.49,15331112,19399787
UKR,36.29,34.86,15774300,31668577
ARE,98.99,96.62,9890429,24649915
GBR,77.83,72.81,53087904,141874281
USA,77.48,66.06,257255601,572595338
OWID_UMC,81.65,77.02,2052407582,5073403575
URY,85.51,82.04,2980072,8148399
UZB,55.59,42.19,18866465,46569941
VUT,42.28,37.57,132941,261709
VEN,77.19,49.77,22157232,37860994
VNM,81.44,79.2,79947189,203144374
OWID_WLS,80.19,75.98,2542156,6966994
WLF,58.44,58.2,6483,12940
OWID_WRL,65.11,58.87,5127189453,11528370986
YEM,2.13,1.35,649673,814569
ZMB,14.96,,2829929,
ZWE,38.62,24.1,5828236,10213714
