iso3,date,vac_share,full_vac_share,vac_num,total_vac_num
AFG,2021-02-22,0,,0,0
AFG,2021-02-23,,,,
AFG,2021-02-24,,,,
AFG,2021-02-25,,,,
AFG,2021-02-26,,,,
AFG,2021-02-27,,,,
AFG,2021-02-28,0.02,,8200,8200
AFG,2021-03-01,,,,
AFG,2021-03-02,,,,
AFG,2021-03-03,,,,
AFG,2021-03-04,,,,
AFG,2021-03-05,,,,
AFG,2021-03-06,,,,
AFG,2021-03-07,,,,
AFG,2021-03-08,,,,
AFG,2021-03-09,,,,
AFG,2021-03-10,,,,
AFG,2021-03-11,,,,
AFG,2021-03-12,,,,
AFG,2021-03-13,,,,
AFG,2021-03-14,,,,
AFG,2021-03-15,,,,
AFG,2021-03-16,0.14,,54000,54000
AFG,2021-03-17,,,,
AFG,2021-03-18,,,,
AFG,2021-03-19,,,,
AFG,2021-03-20,,,,
AFG,2021-03-21,,,,
AFG,2021-03-22,,,,
AFG,2021-03-23,,,,
AFG,2021-03-24,,,,
AFG,2021-03-25,,,,
AFG,2021-03-26,,,,
AFG,2021-03-27,,,,
AFG,2021-03-28,,,,
AFG,2021-03-29,,,,
AFG,2021-03-30,,,,
AFG,2021-03-31,,,,
AFG,2021-04-01,,,,
AFG,2021-04-02,,,,
AFG,2021-04-03,,,,
AFG,2021-04-04,,,,
AFG,2021-04-05,,,,
AFG,2021-04-06,,,,
AFG,2021-04-07,0.3,,120000,120000
AFG,2021-04-08,,,,
AFG,2021-04-09,,,,
AFG,2021-04-10,,,,
AFG,2021-04-11,,,,
AFG,2021-04-12,,,,
AFG,2021-04-13,,,,
AFG,2021-04-14,,,,
AFG,2021-04-15,,,,
AFG,2021-04-16,,,,
AFG,2021-04-17,,,,
AFG,2021-04-18,,,,
AFG,2021-04-19,,,,
AFG,2021-04-20,,,,
AFG,2021-04-21,,,,
AFG,2021-04-22,0.6,,240000,240000
AFG,2021-04-23,,,,
AFG,2021-04-24,,,,
AFG,2021-04-25,,,,
AFG,2021-04-26,,,,
AFG,2021-04-27,,,,
AFG,2021-04-28,,,,
AFG,2021-04-29,,,,
AFG,2021-04-30,,,,
AFG,2021-05-01,,,,
AFG,2021-05-02,,,,
AFG,2021-05-03,,,,
AFG,2021-05-04,,,,
AFG,2021-05-05,,,,
AFG,2021-05-06,,,,
AFG,2021-05-07,,,,
AFG,2021-05-08,,,,
AFG,2021-05-09,,,,
AFG,2021-05-10,,,,
AFG,2021-05-11,1.13,0.14,448878,504502
AFG,2021-05-12,,,,
AFG,2021-05-13,,,,
AFG,2021-05-14,,,,
AFG,2021-05-15,,,,
AFG,2021-05-16,,,,
AFG,2021-05-17,,,,
AFG,2021-05-18,,,,
AFG,2021-05-19,,,,
AFG,2021-05-20,1.18,0.19,470341,547901
AFG,2021-05-21,,,,
AFG,2021-05-22,,,,
AFG,2021-05-23,,,,
AFG,2021-05-24,1.2,0.24,476367,573277
AFG,2021-05-25,,,,
AFG,2021-05-26,1.2,0.28,479372,590454
AFG,2021-05-27,1.2,0.29,479574,593313
AFG,2021-05-28,,,,
AFG,2021-05-29,,,,
AFG,2021-05-30,1.21,0.3,480226,600152
AFG,2021-05-31,,,,
AFG,2021-06-01,,,,
AFG,2021-06-02,1.21,0.36,481690,626290
AFG,2021-06-03,1.21,0.37,481800,630305
AFG,2021-06-04,,,,
AFG,2021-06-05,,,,
AFG,2021-06-06,,,,
AFG,2021-06-07,,,,
AFG,2021-06-08,1.21,0.4,482952,641295
AFG,2021-06-09,,,,
AFG,2021-06-10,,,,
AFG,2021-06-11,,,,
AFG,2021-06-12,,,,
AFG,2021-06-13,,,,
AFG,2021-06-14,1.22,0.44,484737,662003
AFG,2021-06-15,,,,
AFG,2021-06-16,,,,
AFG,2021-06-17,,,,
AFG,2021-06-18,,,,
AFG,2021-06-19,,,,
AFG,2021-06-20,,,,
AFG,2021-06-21,,,,
AFG,2021-06-22,1.46,0.46,582128,765890
AFG,2021-06-23,,,,
AFG,2021-06-24,,,,
AFG,2021-06-25,,,,
AFG,2021-06-26,,,,
AFG,2021-06-27,1.63,0.47,649434,835694
AFG,2021-06-28,,,,
AFG,2021-06-29,,,,
AFG,2021-06-30,1.76,0.47,699200,886854
AFG,2021-07-01,,,,
AFG,2021-07-02,,,,
AFG,2021-07-03,,,,
AFG,2021-07-04,,,,
AFG,2021-07-05,1.82,0.48,726349,915671
AFG,2021-07-06,,,,
AFG,2021-07-07,1.85,0.5,735213,934463
AFG,2021-07-08,,,,
AFG,2021-07-09,,,,
AFG,2021-07-10,,,,
AFG,2021-07-11,1.87,0.55,742934,962093
AFG,2021-07-12,,,,
AFG,2021-07-13,,,,
AFG,2021-07-14,,,,1024168
AFG,2021-07-15,,,,
AFG,2021-07-16,,,,
AFG,2021-07-17,,,,
AFG,2021-07-18,,,,1094257
AFG,2021-07-19,,,,
AFG,2021-07-20,,,,
