id,plan_name,iso3,year,sector_id,sector,metric_name,metric_id,value,category_id,category_name,description,source
716,Mali 2019,MLI,2019,0,Total,totalPopulation,Total population,19417673,Total,Total,Mali HPC 2019 Caseload,Cluster of Mali
716,Mali 2019,MLI,2019,0,Total,Affected,affected,,Total,Total,Mali HPC 2019 Caseload,Cluster of Mali
716,Mali 2019,MLI,2019,0,Total,In Need,inNeed,3200000,Total,Total,Mali HPC 2019 Caseload,Cluster of Mali
716,Mali 2019,MLI,2019,0,Total,Targeted,target,2300000,Total,Total,Mali HPC 2019 Caseload,Cluster of Mali
727,Madagascar Flash Appeal 2019,MDG,2019,0,Total,Total Population,totalPopulation,,Total,Total,National PIN,Flash Appeal document
727,Madagascar Flash Appeal 2019,MDG,2019,0,Total,Affected,affected,,Total,Total,National PIN,Flash Appeal document
727,Madagascar Flash Appeal 2019,MDG,2019,0,Total,In Need,inNeed,890000,Total,Total,National PIN,Flash Appeal document
727,Madagascar Flash Appeal 2019,MDG,2019,0,Total,Targeted,target,460000,Total,Total,National PIN,Flash Appeal document
664,occupied Palestinian territory 2019  (part of 2018-2020 HRP),PSE,2019,0,Total,Total population,totalPopulation,4950000,Total,Total,People targeted,
664,occupied Palestinian territory 2019  (part of 2018-2020 HRP),PSE,2019,0,Total,Affected,affected,,Total,Total,People targeted,
664,occupied Palestinian territory 2019  (part of 2018-2020 HRP),PSE,2019,0,Total,In Need,inNeed,2500000,Total,Total,People targeted,
664,occupied Palestinian territory 2019  (part of 2018-2020 HRP),PSE,2019,0,Total,Targeted,target,1400000,Total,Total,People targeted,
668,Chad 2019,TCD,2019,0,Total,totalPopulation,Total population,15775428,Total,Total,Figures,OCHA Chad
668,Chad 2019,TCD,2019,0,Total,Affected,affected,,Total,Total,Figures,OCHA Chad
668,Chad 2019,TCD,2019,0,Total,In Need,inNeed,4269261,Total,Total,Figures,OCHA Chad
668,Chad 2019,TCD,2019,0,Total,Targeted,target,2003044,Total,Total,Figures,OCHA Chad
720,Pakistan 2019,PAK,2019,0,Total,Total Population,totalPopulation,,Total,Total,FATA Transition Plan,Sectors
720,Pakistan 2019,PAK,2019,0,Total,Affected,affected,,Total,Total,FATA Transition Plan,Sectors
720,Pakistan 2019,PAK,2019,0,Total,In Need,inNeed,2900000,Total,Total,FATA Transition Plan,Sectors
720,Pakistan 2019,PAK,2019,0,Total,Targeted,target,1100000,Total,Total,FATA Transition Plan,Sectors
720,Pakistan 2019,PAK,2019,0,Total,Total Population,totalPopulation,,Total,Total,Drought Response Plan,Sectors
720,Pakistan 2019,PAK,2019,0,Total,Affected,affected,,Total,Total,Drought Response Plan,Sectors
720,Pakistan 2019,PAK,2019,0,Total,In Need,inNeed,5e+06,Total,Total,Drought Response Plan,Sectors
720,Pakistan 2019,PAK,2019,0,Total,Targeted,target,2e+06,Total,Total,Drought Response Plan,Sectors
720,Pakistan 2019,PAK,2019,0,Total,Total Population,totalPopulation,,Total,Total,Overall Caseload,
720,Pakistan 2019,PAK,2019,0,Total,Affected,affected,,Total,Total,Overall Caseload,
720,Pakistan 2019,PAK,2019,0,Total,In Need,inNeed,7900000,Total,Total,Overall Caseload,
720,Pakistan 2019,PAK,2019,0,Total,Targeted,target,3100000,Total,Total,Overall Caseload,
719,Bangladesh: 2019 Joint Response Plan for Rohingya Humanitarian Crisis (January-December),BGD,2019,0,Total,Total Population,totalPopulation,,Total,Total,Humanitarian profile,GHO 2019
719,Bangladesh: 2019 Joint Response Plan for Rohingya Humanitarian Crisis (January-December),BGD,2019,0,Total,Affected,affected,,Total,Total,Humanitarian profile,GHO 2019
719,Bangladesh: 2019 Joint Response Plan for Rohingya Humanitarian Crisis (January-December),BGD,2019,0,Total,In Need,inNeed,1200000,Total,Total,Humanitarian profile,GHO 2019
719,Bangladesh: 2019 Joint Response Plan for Rohingya Humanitarian Crisis (January-December),BGD,2019,0,Total,Targeted,target,1200000,Total,Total,Humanitarian profile,GHO 2019
761,Mozambique Humanitarian Response Plan 2019,MOZ,2019,0,Total,Total Population,totalPopulation,,Total,Total,Drought caseload,
761,Mozambique Humanitarian Response Plan 2019,MOZ,2019,0,Total,Affected,affected,,Total,Total,Drought caseload,
761,Mozambique Humanitarian Response Plan 2019,MOZ,2019,0,Total,In Need,inNeed,815000,Total,Total,Drought caseload,
761,Mozambique Humanitarian Response Plan 2019,MOZ,2019,0,Total,Targeted,target,7e+05,Total,Total,Drought caseload,
761,Mozambique Humanitarian Response Plan 2019,MOZ,2019,0,Total,Total Population,totalPopulation,,Total,Total,Cyclone Caseload,
761,Mozambique Humanitarian Response Plan 2019,MOZ,2019,0,Total,Affected,affected,,Total,Total,Cyclone Caseload,
761,Mozambique Humanitarian Response Plan 2019,MOZ,2019,0,Total,In Need,inNeed,1850000,Total,Total,Cyclone Caseload,
761,Mozambique Humanitarian Response Plan 2019,MOZ,2019,0,Total,Targeted,target,1720000,Total,Total,Cyclone Caseload,
761,Mozambique Humanitarian Response Plan 2019,MOZ,2019,0,Total,Total Population,totalPopulation,,Total,Total,Overall Caseload,
761,Mozambique Humanitarian Response Plan 2019,MOZ,2019,0,Total,Affected,affected,,Total,Total,Overall Caseload,
761,Mozambique Humanitarian Response Plan 2019,MOZ,2019,0,Total,In Need,inNeed,2580000,Total,Total,Overall Caseload,
761,Mozambique Humanitarian Response Plan 2019,MOZ,2019,0,Total,Targeted,target,2420000,Total,Total,Overall Caseload,
794,Burkina Faso 2019,BFA,2019,0,Total,Total Population,totalPopulation,2.1e+07,Total,Total,-,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/bfa-hwp-20190211-web_1.pdf
794,Burkina Faso 2019,BFA,2019,0,Total,Affected,affected,,Total,Total,-,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/bfa-hwp-20190211-web_1.pdf
794,Burkina Faso 2019,BFA,2019,0,Total,In Need,inNeed,1200000,Total,Total,-,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/bfa-hwp-20190211-web_1.pdf
794,Burkina Faso 2019,BFA,2019,0,Total,Targeted,target,898000,Total,Total,-,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/bfa-hwp-20190211-web_1.pdf
674,Central African Republic 2019,CAF,2019,0,Total,Total Population,totalPopulation,4600000,Total,Total,2019 Planning Figures for GHO,
674,Central African Republic 2019,CAF,2019,0,Total,Affected,affected,,Total,Total,2019 Planning Figures for GHO,
674,Central African Republic 2019,CAF,2019,0,Total,In Need,inNeed,2900000,Total,Total,2019 Planning Figures for GHO,
674,Central African Republic 2019,CAF,2019,0,Total,Targeted,target,1700000,Total,Total,2019 Planning Figures for GHO,
724,Syria Refugee Response and Resilience Plan (3RP) 2019,TUR;LBN;JOR;IRQ;EGY,2019,0,Total,Total Population,totalPopulation,,Total,Total,Caseload estimate (late 2018),
