id,plan_name,sector_id,sector,metric_name,metric_id,value,category_id,category_name,description,source,iso3
1011,Somalia Humanitarian Response Plan 2021,0,Total,Population,totalPopulation,12327530,Total,Total,Plan Caseload,"REACH, FSNAU",SOM
1011,Somalia Humanitarian Response Plan 2021,0,Total,Affected,affected,,Total,Total,Plan Caseload,"REACH, FSNAU",SOM
1011,Somalia Humanitarian Response Plan 2021,0,Total,In Need,inNeed,5932722,Total,Total,Plan Caseload,"REACH, FSNAU",SOM
1011,Somalia Humanitarian Response Plan 2021,0,Total,Targeted,target,4030085,Total,Total,Plan Caseload,"REACH, FSNAU",SOM
1011,Somalia Humanitarian Response Plan 2021,0,Total,Expected Reach,expectedReach,3e+06,Total,Total,Plan Caseload,"REACH, FSNAU",SOM
1012,occupied Palestinian territory 2021,0,Total,Population,totalPopulation,5100000,Total,Total,Plan Caseload Estimate,GHO Estimates,PSE
1012,occupied Palestinian territory 2021,0,Total,Affected,affected,,Total,Total,Plan Caseload Estimate,GHO Estimates,PSE
1012,occupied Palestinian territory 2021,0,Total,In Need,inNeed,2400000,Total,Total,Plan Caseload Estimate,GHO Estimates,PSE
1012,occupied Palestinian territory 2021,0,Total,Targeted,target,1800000,Total,Total,Plan Caseload Estimate,GHO Estimates,PSE
1012,occupied Palestinian territory 2021,0,Total,Expected Reach,expectedReach,1154907,Total,Total,Plan Caseload Estimate,GHO Estimates,PSE
1013,South Sudan Humanitarian Response Plan 2021,0,Total,Population,totalPopulation,12060167,Total,Total,Plan Caseload Final,Final,SSD
1013,South Sudan Humanitarian Response Plan 2021,0,Total,Affected,affected,,Total,Total,Plan Caseload Final,Final,SSD
1013,South Sudan Humanitarian Response Plan 2021,0,Total,In Need,inNeed,8310533,Total,Total,Plan Caseload Final,Final,SSD
1013,South Sudan Humanitarian Response Plan 2021,0,Total,Targeted,target,6645700,Total,Total,Plan Caseload Final,Final,SSD
1013,South Sudan Humanitarian Response Plan 2021,0,Total,Expected Reach,expectedReach,5700000,Total,Total,Plan Caseload Final,Final,SSD
1014,Sudan Humanitarian Response Plan 2021,0,Total,Population,totalPopulation,47180433.2,Total,Total,Final Plan Caseload,HRP,SDN
1014,Sudan Humanitarian Response Plan 2021,0,Total,Affected,affected,,Total,Total,Final Plan Caseload,HRP,SDN
1014,Sudan Humanitarian Response Plan 2021,0,Total,In Need,inNeed,13446500.53,Total,Total,Final Plan Caseload,HRP,SDN
1014,Sudan Humanitarian Response Plan 2021,0,Total,Targeted,target,8900000,Total,Total,Final Plan Caseload,HRP,SDN
1014,Sudan Humanitarian Response Plan 2021,0,Total,Expected Reach,expectedReach,7400000,Total,Total,Final Plan Caseload,HRP,SDN
